Make,Model,Year,Km,Transmission,Fuel,Price
Skoda,Octavia A4,2006,"250,000",manual,gas,"235,000"
Seat,Cordoba,2002,"200,000",manual,gas,"125,000"
Volkswagen,CC,2013,"88,000",automatic,gas,"780,000"
Lada,Granta,2016,"70,660",automatic,gas,"230,000"
Chevrolet,Lanos,2012,"159,000",manual,gas,"145,000"
Chevrolet,Equinox,2018,"96,500",automatic,gas,"800,000"
Skoda,Kodiaq,2022,10,automatic,gas,"1,650,000"
Renault,Scala,2011,"230,000",automatic,gas,"180,000"
Mitsubishi,Lancer EX Shark,2016,"270,000",automatic,gas,"380,000"
Opel,Astra,2018,0,automatic,gas,"420,000"
Skoda,Octavia A7,2016,"170,000",automatic,gas,"485,000"
Hyundai,Elantra MD,2013,"185,000",automatic,gas,"360,000"
Hyundai,Accent,2011,"140,000",automatic,gas,"230,000"
Skoda,Fantasia,2010,"200,000",automatic,gas,"330,000"
Kia,Cerato,2021,"150,000",automatic,gas,"475,000"
Hyundai,IX 35,2015,"100,000",automatic,gas,"530,000"
Hyundai,Elantra HD,2018,"39,600",automatic,gas,"375,000"
Chevrolet,N300,2018,"135,000",manual,gas,"187,000"
Volkswagen,Passat,2011,"200,000",automatic,gas,"350,000"
Suzuki,Van,2014,0,manual,gas,"75,000"
BMW,116,2007,"170,000",manual,gas,"250,000"
Mitsubishi,Lancer Puma,2014,"126,000",automatic,gas,"310,000"
Hyundai,Elantra AD,2019,"120,000",automatic,gas,"450,000"
Hyundai,Creta,2017,"85,000",automatic,gas,"530,000"
Opel,Insignia,2014,"159,000",automatic,gas,"440,000"
Nissan,Qashqai,2016,"180,000",automatic,gas,"420,000"
Volkswagen,Tiguan,2020,"38,000",automatic,gas,"1,100,000"
Chevrolet,Cruze,2016,"200,000",automatic,gas,"250,000"
Geely,Emgrand X7,2020,"130,000",automatic,gas,"350,000"
Hyundai,Verna,2011,0,automatic,gas,"130,000"
Fiat,128,1987,0,manual,gas,"32,000"
Toyota,Rush,2019,"120,000",automatic,gas,"500,000"
Daewoo,Nubira 1,1997,"199,000",manual,gas,"85,000"
Renault,Logan,2016,"120,000",manual,gas,"230,000"
Daewoo,Nubira 1,1997,"50,000",manual,gas,"90,000"
Renault,Megane,2000,"220,000",manual,gas,"92,000"
Fiat,128,1977,0,manual,gas,"27,000"
MG,5,2021,"140,000",automatic,gas,"350,000"
BMW,X5,2016,"100,000",automatic,gas,"1,500,000"
Nissan,Sunny,2018,"58,000",automatic,gas,"290,000"
Mazda,929,1982,"300,000",manual,gas,"33,000"
Fiat,Shahin,2003,"100,000",manual,gas,"33,000"
Kia,Sportage,2019,"86,000",automatic,gas,"730,000"
Chevrolet,Lanos,2015,"128,000",manual,gas,"155,000"
Renault,Logan,2013,"103,000",manual,gas,"165,000"
Chery,Arrizo 5,2022,"21,000",manual,gas,"350,000"
Canghe || Changhe,ideal  || Ideal,2013,"75,000",manual,gas,"95,000"
Kia,Sportage,2022,"5,600",automatic,gas,"1,150,000"
Opel,Astra,2015,"200,000",automatic,gas,"350,000"
Chery,Tiggo 7 pro,2022,"15,000",automatic,gas,"750,000"
Renault,Fluence,2016,"172,000",automatic,gas,"350,000"
Toyota,Corolla,2017,"47,000",automatic,gas,"580,000"
Volkswagen,Golf 5,2014,"87,000",automatic,gas,"520,000"
Renault,Logan,2010,"90,000",manual,gas,"130,000"
Mitsubishi,Pajero,2011,"145,000",automatic,gas,"750,000"
Suzuki,Swift,1995,0,manual,gas,"47,000"
Renault,Fluence,2015,"290,000",automatic,gas,"280,000"
Renault,Kadjar,2020,"64,000",automatic,gas,"650,000"
Chery,Tiggo 7,2022,"6,000",automatic,gas,"650,000"
Jeep,Wrangler,2010,"120,000",automatic,gas,"570,000"
Skoda,Rapid Spaceback,2015,"210,000",automatic,gas,"285,000"
Opel,Astra,2017,"50,000",automatic,gas,"410,000"
Alfa Romeo,Giulietta,2016,"71,500",automatic,gas,"440,000"
Mercedes,E 200,2006,"197,000",automatic,gas,"560,000"
Toyota,C-HR,2021,"2,000",automatic,gas,"850,000"
Volkswagen,Suran,2009,"210,000",manual,gas,"250,000"
Mitsubishi,Pajero,2004,"200,000",automatic,gas,"420,000"
Jeep,Cherokee,1997,"150,000",automatic,gas,"110,000"
Fiat,Tipo,2020,"110,000",manual,gas,"200,000"
Toyota,Corolla,2008,"178,000",automatic,gas,"310,000"
Kia,Sorento,2004,"180,000",automatic,gas,"280,000"
Renault,Duster,2018,"106,000",automatic,gas,"410,000"
Gmc,Savana,2012,"125,000",manual,diesel,"200,000"
Suzuki,Swift,1994,"60,000",manual,gas,"45,000"
Chevrolet,Captiva,2021,"28,000",automatic,gas,"680,000"
Skoda,Felicia combi,1996,"200,000",manual,gas,"58,000"
Opel,Astra,2021,"30,000",automatic,gas,"480,000"
Kia,Carens,2015,"75,000",automatic,gas,"575,000"
Mercedes,C 300,2010,"220,000",automatic,gas,"660,000"
Peugeot,301,2019,"45,000",automatic,gas,"310,000"
Nissan,Sunny,2014,"104,000",automatic,gas,"250,000"
Jeep,Grand Cherokee,2008,"275,000",automatic,gas,"350,000"
Fiat,Punto,2017,"40,000",manual,gas,"240,000"
Peugeot,405,1998,0,manual,gas,"90,000"
Kia,Cerato,2017,"40,000",automatic,gas,"490,000"
Fiat,131,1980,0,manual,gas,"38,000"
Chevrolet,Aveo,2006,0,manual,gas,"100,000"
Renault,Lodgy,2017,"80,000",automatic,gas,"370,000"
Daewoo,Nubira 2,2001,"250,000",automatic,gas,"110,000"
Hyundai,Elantra,2006,"300,000",manual,gas,"176,000"
Mitsubishi,Lancer EX Shark,2015,"107,000",automatic,gas,"500,000"
Toyota,Corolla,2017,"47,000",automatic,gas,"590,000"
Lada,Granta,2022,"38,000",automatic,gas,"265,000"
Daewoo,Lanos,1999,0,manual,gas,"95,000"
Peugeot,301,2022,500,automatic,gas,"550,000"
Lada,Granta,2020,"45,000",automatic,gas,"250,000"
Kia,Sportage,2022,"37,000",automatic,gas,"850,000"
Geely,Emgrand 7,2015,"330,000",manual,gas,"155,000"
Hyundai,Avante,2010,"110,000",automatic,gas,"250,000"
Nissan,Sunny,2016,"88,000",automatic,gas,"230,000"
BMW,320,2006,0,automatic,gas,"300,000"
Geely,Emgrand 7,2015,"200,000",manual,gas,"140,000"
Kia,Forte,2009,"83,000",automatic,gas,"310,000"
Mini,Cooper,2017,"90,000",automatic,gas,"600,000"
Chana,New Star,2015,"215,000",manual,gas,"55,000"
Renault,Duster,2019,"70,000",automatic,gas,"455,000"
Hyundai,Tucson,2019,"140,000",automatic,gas,"800,000"
Nissan,Sunny,2016,"50,000",automatic,gas,"340,000"
Byd,F3,2019,"40,000",automatic,gas,"210,000"
Jeep,Renegade,2019,"80,000",automatic,gas,"650,000"
Skoda,Felicia,1996,"200,000",manual,gas,"60,000"
Nissan,Pick up,1998,0,manual,gas,"180,000"
Nissan,Sunny,2013,"170,000",automatic,gas,"200,000"
Hyundai,Avante,2002,"235,000",manual,gas,"167,000"
Kia,Grand Cerato,2020,"71,000",automatic,gas,"530,000"
Nissan,Sunny,2015,"240,000",automatic,natural gas,"200,000"
Hyundai,Elantra HD,2019,"60,000",automatic,gas,"370,000"
Fiat,Tipo,2020,"40,000",automatic,gas,"410,000"
Kia,Xceed,2022,"8,000",automatic,gas,"900,000"
Chevrolet,Aveo,2012,"125,000",manual,gas,"185,000"
Fiat,Shahin,2004,0,manual,gas,"55,000"
Renault,Megane,2020,"70,000",automatic,gas,"550,000"
Kia,Carens,2014,"165,000",automatic,gas,"420,000"
Skoda,Fabia,2008,"198,000",manual,gas,"155,000"
Mitsubishi,Lancer EX Shark,2016,"96,000",automatic,gas,"400,000"
Geely,Emgrand 7,2013,"98,000",manual,gas,"125,000"
Audi,Q3,2014,"215,000",automatic,gas,"630,000"
Ford,Kuga,2017,"175,000",automatic,gas,"600,000"
Renault,Logan,2016,"204,000",automatic,gas,"187,000"
Mercedes,200,1984,"90,000",manual,gas,"80,000"
Suzuki,Van,1998,"180,000",manual,gas,"70,000"
Fiat,128,1978,0,manual,gas,"18,500"
Kia,Sportage,2021,"29,000",automatic,gas,"999,000"
Volkswagen,Tiguan,2019,"137,000",automatic,gas,"850,000"
Mitsubishi,Lancer EX Shark,2016,"120,000",automatic,gas,"390,000"
Volkswagen,Jetta,2013,"180,000",automatic,gas,"365,000"
Hyundai,Excel,1996,"270,000",manual,gas,"45,000"
Peugeot,3008,2021,"25,000",automatic,gas,"467,000"
Ford,Focus,2021,"14,800",automatic,gas,"660,000"
Renault,Logan,2016,"210,000",automatic,gas,"225,000"
Proton,Waja,2007,"400,000",manual,gas,"125,000"
Renault,Duster,2020,"59,000",automatic,gas,"470,000"
Seat,Ibiza,2021,"44,000",automatic,gas,"560,000"
Hyundai,Accent,2001,"200,000",manual,gas,"85,000"
Opel,Vectra,2008,"160,000",automatic,gas,"280,000"
Lada,2107,2009,0,manual,gas,"35,000"
Volkswagen,Caddy,2011,"80,000",manual,gas,"270,000"
Peugeot,405,2004,"200,000",manual,gas,"115,000"
Fiat,Tipo,2021,"50,000",manual,gas,"300,000"
Speranza,Tiggo,2017,"90,000",automatic,gas,"280,000"
Chevrolet,Optra,2021,"54,000",automatic,gas,"300,000"
Citroën,C4 Picasso,2016,"123,000",automatic,gas,"450,000"
Fiat,131,1983,0,manual,gas,"33,333"
Speranza,Tiggo,2022,"30,000",automatic,gas,"450,000"
Hyundai,Tucson,2020,"75,000",automatic,gas,"820,000"
Hyundai,Accent HCI,2020,"77,000",automatic,gas,"370,000"
Chevrolet,Cruze,2010,"235,000",automatic,gas,"235,000"
Peugeot,505,1980,0,manual,gas,"32,000"
Mercedes,C 180,2010,"175,000",automatic,gas,"490,000"
Jeep,Wrangler,2016,"111,000",automatic,gas,"1,000,000"
Hyundai,Accent,2006,"200,000",manual,natural gas,"270,000"
Chery,Tiggo 3,2019,"57,000",automatic,gas,"320,000"
Hyundai,Avante,2007,"132,000",automatic,gas,"190,000"
Toyota,Yaris,2007,"217,000",manual,gas,"165,000"
Daewoo,Nubira 1,1997,"200,000",manual,gas,"83,000"
Nissan,Sunny,2014,"139,000",automatic,gas,"260,000"
Renault,Megane,2009,"190,000",automatic,gas,"165,000"
Byd,F3,2020,"95,000",manual,gas,"215,000"
Jac,J7,2021,"30,000",automatic,gas,"500,000"
Toyota,Corolla,2015,"128,000",automatic,gas,"420,000"
Hyundai,Verna,2015,"155,000",manual,gas,"175,000"
Volkswagen,Beetle,2006,"172,000",automatic,gas,"250,000"
Geely,Cool Ray,2022,"16,000",automatic,gas,"640,000"
Ford,Mustang,1995,"78,800",automatic,gas,"250,000"
Mercedes,B 150,2007,"210,000",automatic,gas,"350,000"
Chevrolet,Optra,2007,"170,000",manual,gas,"190,000"
Citroën,Berlingo,2007,"90,000",manual,gas,"70,000"
Hyundai,Tucson,2017,"110,000",automatic,gas,"800,000"
Chevrolet,Cruze,2015,"215,000",automatic,gas,"290,000"
Opel,Astra,2014,"130,000",automatic,gas,"340,000"
Nissan,Sunny,2015,"75,000",automatic,gas,"300,000"
Skoda,Rapid,2015,"195,000",automatic,gas,"310,000"
Ford,Focus,2013,"155,000",automatic,gas,"260,000"
Toyota,Belta,2022,80,automatic,gas,"600,000"
Chevrolet,T-Series,2011,"30,000",manual,gas,"200,000"
Mitsubishi,Lancer EX Shark,2016,"130,000",automatic,gas,"400,000"
Hyundai,Excel,1994,0,manual,gas,"45,000"
Hyundai,Accent,2010,"200,000",manual,gas,"180,000"
Daewoo,Juliet,1999,"427,000",manual,gas,"100,000"
Ssang Yong,Tivoli,2021,"42,000",automatic,gas,"570,000"
Suzuki,Van,2014,"11,000",manual,gas,"112,000"
Mitsubishi,Lancer EX Shark,2015,"75,000",automatic,gas,"380,000"
Peugeot,206,2005,"15,000",manual,gas,"120,000"
Volkswagen,Passat,2019,"90,000",automatic,gas,"800,000"
Dodge,Ram,2009,"159,000",automatic,gas,"1,100,000"
Renault,Fluence,2011,"200,000",automatic,gas,"200,000"
Renault,Sandero,2013,"90,000",manual,gas,"149,000"
Daewoo,Lanos,2001,0,manual,gas,"95,000"
Suzuki,Van,2011,"70,000",manual,gas,"100,000"
Jac,S4,2021,"13,000",automatic,gas,"550,000"
Fiat,Dogan,1992,0,manual,gas,"45,000"
Hyundai,Getz,2010,"90,000",automatic,gas,"250,000"
Opel,Astra,2020,"100,000",automatic,gas,"430,000"
Nissan,Sentra,2017,129,automatic,gas,"385,000"
Opel,Astra,2001,"135,000",manual,gas,"120,000"
Skoda,Felicia,1997,0,manual,gas,"79,000"
Opel,Insignia,2015,200,automatic,gas,"490,000"
Nissan,Sunny,2013,"208,000",automatic,gas,"200,000"
Hyundai,Excel,1994,"250,000",manual,gas,"55,000"
Nissan,Sunny,2023,"18,000",automatic,gas,"350,000"
Renault,11,1981,0,manual,gas,"25,000"
Renault,Logan,2016,"90,000",manual,gas,"190,000"
Chevrolet,Cruze,2010,"117,900",automatic,gas,"185,000"
Opel,Corsa,2004,"220,000",manual,gas,"105,000"
Renault,Logan,2013,"135,000",automatic,gas,"140,000"
Suzuki,Van,2016,"100,000",manual,gas,"110,000"
Mitsubishi,Lancer Puma,2007,"115,000",automatic,gas,"220,000"
MG,Rx5,2019,"85,000",automatic,gas,"500,000"
Chery,Arrizo 5,2021,"16,000",manual,gas,"270,000"
Toyota,Hiace,2020,"85,000",manual,diesel,"1,400,000"
Chevrolet,Lanos,2019,"77,000",manual,gas,"195,000"
Renault,Logan,2016,"103,000",automatic,gas,"250,000"
Geely,Emgrand 7,2013,"155,000",manual,gas,"160,000"
Chevrolet,Optra,2008,"200,000",automatic,gas,"210,000"
Mahindra,Scorpio,2008,"130,000",manual,gas,"155,000"
Hyundai,Accent,2006,"170,000",manual,gas,"110,000"
Mercedes,A 160,2002,"183,000",automatic,gas,"165,000"
Hyundai,Accent RB,2017,"150,000",automatic,gas,"340,000"
Speranza,A113,2011,"185,000",manual,gas,"90,000"
Toyota,Fortuner,2013,"220,000",automatic,gas,"1,000,000"
Ford,Mondeo,2000,"151,000",manual,gas,"75,000"
Audi,A3,2019,"130,000",automatic,gas,"800,000"
Mazda,RX,1979,0,automatic,gas,"60,000"
Toyota,Corolla,2019,"90,000",automatic,gas,"540,000"
Geely,Emgrand 7,2014,"300,000",manual,gas,"135,000"
Renault,Logan,2012,"152,000",manual,gas,"150,000"
Fiat,128,1987,0,manual,gas,"20,000"
Fiat,124,1973,0,manual,gas,"28,000"
Fiat,128,1985,0,manual,gas,"12,000"
Chery,Tiggo 7,2021,"35,000",automatic,gas,"490,000"
DFSK,EAGLE 580,2019,"130,000",automatic,gas,"450,000"
Daewoo,Nubira 1,1998,"277,000",manual,gas,"95,000"
Hyundai,Accent,2001,"113,000",manual,gas,"79,000"
Fiat,Tipo,2021,"80,000",automatic,gas,"470,000"
Renault,Duster,2015,"264,000",manual,gas,"315,000"
Opel,Astra,2020,"52,000",automatic,gas,"460,000"
Chevrolet,Optra,2021,"50,000",automatic,gas,"340,000"
Skoda,Octavia A5,2006,"180,000",automatic,gas,"270,000"
Volkswagen,Polo,1998,"150,000",manual,gas,"75,000"
Fiat,Siena,2001,"140,000",manual,gas,"60,000"
Chevrolet,Lanos,2013,"187,000",manual,gas,"138,000"
Chevrolet,Optra,2006,"200,000",automatic,gas,"195,000"
Mitsubishi,Pajero,2015,"140,000",automatic,gas,"970,000"
Mitsubishi,Lancer EX Shark,2016,"157,000",automatic,gas,"375,000"
Speranza,Tiggo,2012,"95,000",manual,gas,"190,000"
Citroën,C5,2013,"170,000",automatic,gas,"380,000"
BMW,218 i,2021,"30,000",automatic,gas,"1,750,000"
Daewoo,Lanos,2000,"150,000",manual,gas,"100,000"
Hyundai,Excel,1998,0,manual,gas,"57,000"
Citroën,Xsara,2001,0,manual,gas,"65,000"
Hyundai,Tucson Turbo GDI || Tucson Turbo,2022,"11,800",automatic,gas,"1,050,000"
Fiat,Tipo,2021,"32,000",automatic,gas,"485,000"
Suzuki,Van,2013,"120,000",manual,gas,"92,000"
Chery,A15,2007,0,manual,gas,"70,000"
Kia,Soul,2015,"160,000",automatic,gas,"420,000"
Hyundai,Excel,1994,0,manual,gas,"63,000"
Fiat,Punto,2009,"178,000",manual,gas,"140,000"
Volkswagen,Jetta,2009,"280,000",automatic,gas,"320,000"
Fiat,Tipo,2020,"50,000",manual,gas,"320,000"
Hyundai,Accent,2010,"155,760",manual,gas,"180,000"
Chevrolet,Captiva,2012,"130,000",automatic,gas,"330,000"
Byd,F3,2021,"30,000",manual,gas,"240,000"
Kia,Sportage,2022,"50,000",automatic,gas,"925,000"
Kia,Carens,2011,"190,000",automatic,gas,"320,000"
Renault,Logan,2010,"300,000",manual,gas,"148,000"
Toyota,Echo,2004,"100,000",manual,gas,"100,000"
Fiat,Siena,2000,"200,000",manual,gas,"68,000"
Hyundai,Elantra CN7,2021,"62,000",automatic,gas,"650,000"
Hyundai,Tucson GDI,2019,"107,000",automatic,gas,"725,000"
BMW,525,2007,"201,000",automatic,gas,"500,000"
Byd,F3,2018,"145,000",manual,gas,"220,000"
Opel,Vectra,1995,"126,210",manual,gas,"65,000"
Skoda,Octavia A7,2014,"160,000",automatic,gas,"425,000"
Hyundai,Elantra MD,2016,"100,000",automatic,gas,"383,000"
Opel,Astra,2013,"183,000",automatic,gas,"285,000"
Peugeot,305,1980,"170,000",manual,gas,"30,000"
Kia,Sportage,2017,"120,000",automatic,gas,"765,000"
Fiat,128,1982,"300,000",manual,gas,"18,500"
Hyundai,IX 35,2015,"75,000",automatic,gas,"590,000"
Mitsubishi,Lancer Crystala,1998,"350,000",manual,gas,"110,000"
Fiat,128,1980,0,manual,gas,"13,000"
Opel,Grandland,2018,"90,000",automatic,gas,"680,000"
Chevrolet,Lanos,2011,"130,000",manual,gas,"120,000"
Daewoo,Nubira 2,2005,"250,000",automatic,gas,"145,000"
Fiat,132,1979,0,manual,gas,"30,000"
Mazda,323,1982,0,manual,gas,"35,000"
Mitsubishi,Lancer EX Shark,2015,"169,000",automatic,gas,"300,000"
Hyundai,Accent HCI,2020,"68,000",automatic,gas,"490,000"
Nissan,Sunny,2023,"15,000",automatic,gas,"460,000"
Mercedes,C 250,2010,"250,000",automatic,gas,"650,000"
Speranza,A516,2011,"220,000",manual,gas,"95,000"
Fiat,Shahin,2005,"100,000",manual,gas,"43,000"
MG,5,2022,"58,000",automatic,gas,"430,000"
Hyundai,Accent,2021,"15,000",automatic,gas,"440,000"
Kia,Soul,2017,"135,000",automatic,gas,"500,000"
Nissan,Sunny,2021,"90,000",automatic,gas,"330,000"
Fiat,128,1989,0,manual,gas,"35,000"
Jac,J7,2021,"15,000",automatic,gas,"510,000"
MG,350,2012,"160,000",automatic,gas,"190,000"
Jeep,Wrangler Unlimited,2010,"162,000",automatic,gas,"620,000"
Renault,Logan,2011,"218,000",manual,gas,"144,000"
Volkswagen,Polo,2001,"100,000",manual,gas,"80,000"
Audi,A3,2022,"9,000",automatic,gas,"1,400,000"
MG,5,2021,"190,000",automatic,gas,"340,000"
Hyundai,Creta,2016,"125,000",automatic,gas,"500,000"
Audi,A3,2017,"94,000",automatic,gas,"550,000"
Fiat,Tipo,2019,"120,000",automatic,gas,"390,000"
MG,6,2022,"30,000",automatic,gas,"560,000"
Geely,Emgrand 7,2016,"240,000",manual,gas,"145,000"
Suzuki,Ertiga,2021,"39,000",automatic,gas,"560,000"
Mercedes,C 200,1977,"150,000",manual,gas,"55,000"
Fiat,Uno,1994,"180,000",manual,gas,"45,000"
Changan,Eado,2022,"50,000",automatic,gas,"330,000"
Toyota,Corolla,2007,"175,000",automatic,gas,"290,000"
Toyota,Corolla,2009,"65,000",automatic,gas,"350,000"
Hyundai,Verna,2011,"205,896",manual,gas,"120,000"
Mercedes,300,1984,0,automatic,gas,"60,000"
Nissan,Sunny,2017,"140,000",automatic,gas,"200,000"
Hyundai,Verna,2015,"225,000",manual,gas,"185,000"
Chery,Tiggo 3,2021,"17,000",automatic,gas,"405,000"
Chevrolet,Cruze,2016,"96,000",automatic,gas,"285,000"
Subaru,XV,2012,"250,000",automatic,gas,"420,000"
Kia,Rio,2013,"165,000",automatic,gas,"330,000"
Jeep,Renegade,2020,"70,000",automatic,gas,"720,000"
Byd,F3,2012,"234,000",manual,gas,"190,000"
Kia,Cerato,2018,"145,000",automatic,gas,"530,000"
Hyundai,Accent,1999,"200,000",automatic,gas,"88,000"
Hyundai,Verna,2008,"90,000",manual,gas,"145,000"
Nissan,Sunny,2021,"51,000",automatic,gas,"320,000"
Renault,Sandero Step Way,2016,"185,000",automatic,gas,"270,000"
Nissan,Sunny,2009,"180,000",automatic,gas,"205,000"
Nissan,Sunny,1994,0,manual,gas,"70,000"
Toyota,Corolla,2013,"192,000",automatic,gas,"440,000"
Jeep,Cherokee,2012,"205,000",automatic,gas,"530,000"
Hyundai,Creta,2021,"57,000",automatic,gas,"640,000"
Hyundai,IX 35,2015,"200,000",automatic,gas,"650,000"
Geely,Emgrand 7,2013,"125,000",manual,gas,"130,000"
Nissan,Sunny,2016,"155,000",automatic,gas,"250,000"
Mercedes,320,1991,"230,000",automatic,gas,"210,000"
Mercedes,CLK,1999,"190,000",automatic,gas,"425,000"
Chevrolet,Optra,2010,"54,000",automatic,gas,"230,000"
Hyundai,Elantra HD,2017,"59,000",automatic,gas,"340,000"
Opel,Grandland,2021,"30,000",automatic,gas,"875,000"
Toyota,Corolla,2015,"143,000",automatic,gas,"485,000"
Mazda,929,1982,0,manual,gas,"35,000"
Hyundai,I20,2022,"7,000",automatic,gas,"505,000"
Renault,Logan,2018,"170,000",automatic,gas,"285,000"
Mercedes,E 200,2006,"200,000",automatic,gas,"450,000"
Fiat,Tipo,2019,"70,000",automatic,gas,"370,000"
Mercedes,E 180,2019,"58,000",automatic,gas,"1,950,000"
Fiat,Tipo,2021,"100,000",automatic,gas,"530,000"
Mitsubishi,Lancer EX Shark,2016,"200,000",automatic,gas,"320,000"
Kia,Sportage,2021,"30,000",automatic,gas,"890,000"
Chevrolet,Lanos,2009,"130,000",manual,gas,"130,000"
Skoda,Octavia A7,2016,"90,000",automatic,gas,"600,000"
Nissan,Sunny,2018,"68,000",automatic,gas,"340,000"
Peugeot,305,1981,0,manual,gas,"25,000"
MG,ZS,2021,"40,000",automatic,gas,"488,000"
Toyota,Corolla,2014,"130,000",automatic,gas,"395,000"
Fiat,Siena,2002,"192,000",manual,gas,"85,000"
Hyundai,Tucson,2021,"45,000",automatic,gas,"880,000"
MG,5,2020,"85,000",automatic,gas,"410,000"
Mercedes,C 180,2013,"160,000",automatic,gas,"700,000"
Chevrolet,Captiva,2021,"90,000",automatic,gas,"600,000"
Nissan,Sunny,2022,"20,000",automatic,gas,"370,000"
Chevrolet,Optra,2020,"154,000",automatic,gas,"350,000"
BMW,320,2013,"210,000",automatic,gas,"600,000"
Fiat,Tempra,1991,0,manual,gas,"43,000"
Renault,Logan,2013,"125,000",automatic,gas,"210,000"
Chevrolet,T-Series,2011,"150,000",manual,diesel,"230,000"
Hyundai,Verna,2014,"300,000",manual,natural gas,"140,000"
Renault,Duster,2012,"120,000",manual,gas,"255,000"
Chevrolet,Aveo,2008,"240,000",manual,gas,"160,000"
Kia,Pride,1997,"100,000",manual,gas,"50,000"
Skoda,Octavia A8,2021,"40,000",automatic,gas,"940,000"
Audi,Q3,2016,"105,000",automatic,gas,"800,000"
Nissan,Sunny,2020,"90,000",automatic,gas,"290,000"
Hyundai,Excel,1994,"500,000",manual,gas,"60,000"
Lada,2105,1995,0,manual,gas,"29,000"
MG,5,2020,"85,000",automatic,gas,"410,000"
Seat,Ibiza,1991,"100,000",manual,gas,"350,000"
Nissan,Qashqai,2017,"155,000",automatic,gas,"460,000"
Mitsubishi,Lancer Puma,2010,"63,000",manual,gas,"273,000"
Ds,DS7,2021,"90,000",automatic,gas,"1,050,000"
Mitsubishi,Eclipse Cross,2021,"70,000",automatic,gas,"730,000"
Lada,1300,1983,"50,000",manual,gas,"25,000"
Fiat,Shahin,1997,"160,000",manual,gas,"42,000"
Suzuki,Maruti,2011,"66,000",manual,gas,"75,000"
Geely,Emgrand 7,2017,"130,000",manual,gas,"220,000"
Speranza,A620,2008,"207,000",automatic,gas,"160,000"
Hyundai,Sonata,1998,0,automatic,gas,"83,000"
Mitsubishi,Eclipse Cross,2019,"44,000",automatic,gas,"670,000"
Kia,Sportage,2022,"7,500",automatic,gas,"875,000"
Chery,Arrizo 5,2020,"55,000",automatic,gas,"270,000"
Mazda,323,1981,"130,000",manual,gas,"37,000"
Mitsubishi,Lancer EX Shark,2018,"80,000",automatic,gas,"330,000"
Chevrolet,Cruze,2016,"180,000",automatic,gas,"290,000"
Hyundai,Accent,2010,"97,000",automatic,gas,"210,000"
Fiat,131,1982,"50,000",manual,gas,"40,000"
Opel,Astra,2021,"67,000",automatic,gas,"490,000"
Seat,Ateca,2021,"68,000",automatic,gas,"1,150,000"
Volkswagen,Passat,2006,"90,000",automatic,gas,"320,000"
Toyota,Corolla,1993,"110,000",manual,gas,"120,000"
Fiat,1300,2001,0,manual,gas,"40,000"
Dongfeng,Aeolus A30,2022,100,automatic,gas,"532,000"
Lada,Granta,2022,"58,000",manual,gas,"235,000"
Peugeot,207,2012,"80,000",automatic,gas,"390,000"
Kia,Cerato,2015,"150,000",automatic,gas,"400,000"
MG,ZS,2020,"90,000",automatic,gas,"450,000"
Fiat,Shahin,2009,0,manual,gas,"70,000"
Mercedes,B 200,2013,"150,000",automatic,gas,"550,000"
Renault,Logan,2022,"55,000",automatic,gas,"400,000"
Toyota,Corolla,1998,"300,000",manual,gas,"110,000"
Kia,Sephia,1999,"263,000",automatic,gas,"130,000"
Chevrolet,Optra,2018,"172,000",automatic,natural gas,"260,000"
BMW,525,2007,"300,000",automatic,gas,"500,000"
Chevrolet,N300,2015,"298,000",manual,gas,"160,000"
Fiat,Dogan,1996,"100,000",manual,gas,"55,000"
Citroën,C5,2021,"15,000",automatic,gas,"860,000"
Opel,Grandland,2022,"47,000",automatic,gas,"890,000"
Mitsubishi,Lancer Puma,2007,"300,000",manual,gas,"170,000"
Kia,Sephia,1995,"100,000",manual,gas,"53,000"
Speranza,A11,2005,0,automatic,gas,"65,000"
Fiat,Tipo,2021,"65,000",automatic,gas,"380,000"
Nissan,Sentra,2019,"100,000",automatic,gas,"400,000"
Ssang Yong,Tivoli XLV,2020,"51,000",automatic,gas,"560,000"
Nissan,Juke,2012,"118,000",automatic,gas,"340,000"
Renault,Clio,2005,"250,000",manual,gas,"85,000"
Chevrolet,Aveo,2011,"140,000",manual,gas,"145,000"
Lada,Niva,1990,0,manual,gas,"28,000"
Peugeot,504,1977,0,manual,gas,"45,000"
Hyundai,Tucson Turbo GDI || Tucson Turbo,2020,"40,000",automatic,gas,"770,000"
Daewoo,Nubira 2,2006,"274,000",manual,gas,"110,000"
Chery,Arrizo 5,2022,"24,000",automatic,gas,"360,000"
Citroën,C5 Aircross,2021,"34,000",automatic,gas,"950,000"
DFSK,330S,2022,"65,000",manual,gas,"330,000"
Mercedes,280,2009,"200,000",automatic,gas,"600,000"
Nissan,Sunny,2021,"86,000",automatic,gas,"300,000"
Hyundai,Elantra HD,2018,"77,000",automatic,gas,"330,000"
Chery,Envy,2018,"80,000",manual,gas,"250,000"
Toyota,Corolla,2008,"300,000",automatic,gas,"310,000"
Skoda,Rapid,2015,"134,000",automatic,gas,"295,000"
Opel,Grandland,2021,"33,000",automatic,gas,"850,000"
Daewoo,Leganza,1999,"290,000",automatic,natural gas,"80,000"
Renault,Rainbow,2000,"60,000",manual,gas,"75,000"
Kia,Sportage,2018,"56,000",automatic,gas,"830,000"
Volkswagen,Passat,2006,"244,000",automatic,gas,"350,000"
